Ordem_Matriz,r,Duracao_Naive,Duracao_Strassen
32.0,8.0,0.008468151092529297,0.014805793762207031
32.0,8.0,0.013298749923706055,0.014623165130615234
32.0,8.0,0.017664432525634766,0.02062821388244629
32.0,8.0,0.02251410484313965,0.023410558700561523
32.0,8.0,0.019743919372558594,0.022650718688964844
32.0,8.0,0.013887643814086914,0.009870529174804688
32.0,8.0,0.013683319091796875,0.007772684097290039
32.0,8.0,0.013623714447021484,0.014061689376831055
64.0,8.0,0.1392366886138916,0.16529059410095215
64.0,8.0,0.09539914131164551,0.1072077751159668
64.0,8.0,0.09229254722595215,0.1718142032623291
64.0,8.0,0.20378994941711426,0.20075750350952148
64.0,8.0,0.15140533447265625,0.1192624568939209
64.0,8.0,0.1833641529083252,0.1384892463684082
64.0,8.0,0.14144396781921387,0.10011100769042969
64.0,8.0,0.09995770454406738,0.09445881843566895
128.0,8.0,1.2482683658599854,0.9673769474029541
128.0,8.0,1.1014399528503418,0.8501193523406982
128.0,8.0,0.7799797058105469,0.9532713890075684
128.0,8.0,1.0037131309509277,0.6255228519439697
128.0,8.0,1.037877082824707,0.7342126369476318
128.0,8.0,0.9045984745025635,0.9239459037780762
128.0,8.0,0.940922737121582,0.942554235458374
128.0,8.0,1.0138719081878662,1.0228278636932373
256.0,8.0,5.500204563140869,4.716771841049194
256.0,8.0,6.78242826461792,4.185628175735474
256.0,8.0,5.968804597854614,5.33411431312561
256.0,8.0,6.89284348487854,2.648817300796509
256.0,8.0,4.416028738021851,3.7812154293060303
256.0,8.0,4.672338485717773,2.9051287174224854
256.0,8.0,3.7242302894592285,3.053833484649658
256.0,8.0,3.886063575744629,2.4585154056549072
512.0,8.0,27.618812561035156,18.138854265213013
512.0,8.0,23.85248064994812,16.78105854988098
512.0,8.0,24.005688190460205,16.77464485168457
512.0,8.0,23.840054750442505,16.789647102355957
512.0,8.0,24.06391930580139,16.856600046157837
512.0,8.0,23.583272218704224,16.942853689193726
512.0,8.0,24.35162663459778,16.85601496696472
512.0,8.0,34.640764236450195,19.716742515563965
1024.0,8.0,208.25158786773682,120.4462878704071
1024.0,8.0,230.19098591804504,135.76064467430115
1024.0,8.0,224.35254955291748,134.33312702178955
1024.0,8.0,223.94215369224548,136.83151364326477
1024.0,8.0,222.56988501548767,127.80573296546936
1024.0,8.0,198.1297423839569,118.55115985870361
1024.0,8.0,198.49567866325378,118.84922885894775
1024.0,8.0,197.14628887176514,118.38416981697083
2048.0,8.0,1606.8257730007172,842.3509774208069
2048.0,8.0,1605.5705161094666,842.6625053882599
2048.0,8.0,1610.2375111579895,844.5528242588043
2048.0,8.0,1610.0091915130615,844.548003911972
2048.0,8.0,1608.8521814346313,846.6886239051819
2048.0,8.0,1628.259524345398,847.4749720096588
2048.0,8.0,1611.0502405166626,847.6836659908295
2048.0,8.0,1610.8556232452393,844.837705373764
